,passenger_count,distance,year,Month,Date,Day,Hour,Predicted_fare
0,1,1.2009460731276016,2015,1,27,1,13,2.3787237463015845
1,1,1.2312045033547776,2015,1,27,1,13,2.387683720581434
2,1,0.4815787971131485,2011,10,8,5,11,1.6838782439611015
3,1,1.0855380304427467,2012,12,1,5,21,2.2093898403341523
4,1,1.8543118401840102,2012,12,1,5,21,2.793718451080636
5,1,1.4404389451912563,2012,12,1,5,21,2.4054155448804697
6,1,0.6573134060758052,2011,10,6,3,12,1.9817396370169347
7,1,3.1152960189817187,2011,10,6,3,12,3.9678699005733646
8,1,1.5839070962176371,2011,10,6,3,12,2.4491546682787333
9,1,0.7418392017587127,2014,2,18,1,15,1.9994055731010063
10,1,1.1992672994591556,2014,2,18,1,15,2.3787237463015845
11,1,1.7611591349976947,2014,2,18,1,15,2.8656378218272827
12,1,0.5438752416139686,2010,3,29,0,20,1.7133643321046061
13,1,0.9841374508754249,2010,3,29,0,20,2.0375439585722743
14,1,1.2539144032316845,2011,10,6,3,3,2.2373908391678694
15,1,1.8108061191262057,2011,10,6,3,3,2.624306732072414
16,1,0.26147004948964525,2012,7,15,6,16,1.7258657342938533
17,1,1.2616228782005496,2012,7,15,6,16,2.3168646726663487
18,1,0.5768630337174273,2012,7,15,6,16,1.8147240313313147
19,1,0.35577191066812924,2012,7,15,6,16,1.7258657342938533
20,1,0.9752935228824977,2014,10,29,2,2,2.080005359169948
21,1,1.0882961086099254,2014,6,14,5,13,2.315234106011421
22,1,0.835272091743209,2014,6,14,5,13,2.030339396972295
23,1,1.065157017864982,2014,6,14,5,13,2.315234106011421
24,1,1.9139358530227044,2014,6,14,5,13,2.922857958969232
25,1,0.7522113353654581,2014,6,14,5,13,1.987387000262825
26,1,2.7282801639161867,2014,6,14,5,13,3.682586753461081
27,1,2.3444820387954985,2014,6,14,5,13,3.4787929021140926
28,1,0.7629197804986374,2014,6,14,5,13,1.987387000262825
29,1,1.7398292572387808,2014,6,14,5,13,2.7907867641441553
30,1,1.3610729424622285,2014,6,14,5,13,2.5251966302348405
31,1,0.7802790349090921,2014,6,14,5,13,2.057180484978666
32,1,0.7278560907368083,2014,6,14,5,13,1.981597430204942
33,1,1.3542949066759349,2014,6,14,5,13,2.5251966302348405
34,1,1.116089961411918,2014,6,14,5,13,2.3274344841191663
35,1,0.941389180153331,2014,6,14,5,13,2.171403633762168
36,1,0.763016133554383,2014,6,14,5,13,1.987387000262825
37,1,0.6896387574482935,2014,6,14,5,13,1.8996212521313562
38,1,0.9432139169375222,2014,6,14,5,13,2.171403633762168
39,1,0.5402978115427538,2014,6,14,5,13,1.77995313566252
40,1,2.0873217700015103,2014,6,14,5,13,3.0107839159018313
41,1,1.2749804291363083,2014,6,14,5,13,2.4584782373832326
42,1,1.9818456066455061,2014,6,14,5,13,2.9566665238625873
43,1,1.2143382447449997,2014,6,14,5,13,2.366027587939255
44,1,0.46256971471850816,2014,6,14,5,13,1.7484921801084259
45,1,1.4063104791629402,2014,6,14,5,13,2.5251966302348405
46,1,0.6323837359645115,2014,6,14,5,13,1.876717024221288
47,1,0.7983986682514657,2014,6,14,5,13,2.013949834723746
48,1,0.7167473230883206,2014,6,14,5,13,1.9543531938429242
49,1,0.5282370181996241,2014,6,14,5,13,1.77995313566252
50,1,1.390336147205997,2014,6,14,5,13,2.5251966302348405
51,1,1.480507586238828,2014,6,14,5,13,2.6493450977463415
52,1,1.965977667718984,2014,6,14,5,13,2.9566665238625873
53,1,0.7448693656914599,2014,6,14,5,13,1.987387000262825
54,1,0.8490447462902458,2014,6,14,5,13,2.1362240759279065
55,1,1.761784424181812,2014,6,14,5,13,2.8485147755181717
56,1,1.5324395470958203,2014,6,14,5,13,2.6864085837168448
57,1,1.2339148709069174,2014,6,14,5,13,2.3722623384717036
58,1,1.5689414311201815,2014,6,14,5,13,2.712959622695169
59,1,1.5835149292823274,2014,6,14,5,13,2.712959622695169
60,1,0.8605063568376435,2014,6,14,5,13,2.117732880492217
61,1,1.2842176235121425,2014,6,14,5,13,2.4792013471548886
62,1,0.5707369145229497,2014,6,14,5,13,1.8136297271397992
63,1,0.6061546859029546,2014,6,14,5,13,1.8520654597224253
64,1,0.9297182945107829,2014,6,14,5,13,2.171403633762168
65,1,0.8552252525215899,2014,6,14,5,13,2.117732880492217
66,1,1.3034353231932863,2014,6,14,5,13,2.4969586795510565
67,1,0.6952424728114261,2014,6,14,5,13,1.91111029667923
68,1,0.4426671760770436,2014,6,14,5,13,1.7484921801084259
69,1,1.8749213942423046,2014,6,14,5,13,2.903217289128299
70,1,0.8028923839401652,2014,6,14,5,13,2.0261488594465877
71,1,0.4913853859300868,2014,6,14,5,13,1.7484921801084259
72,1,1.3623622894814837,2014,6,14,5,13,2.5251966302348405
73,1,0.8630792604771585,2014,6,14,5,13,2.117732880492217
74,1,1.2455829126983007,2014,6,14,5,13,2.4008625234354
75,1,1.3672005526346276,2014,6,14,5,13,2.5251966302348405
76,1,2.836307999606017,2014,6,14,5,13,3.7861596793763397
77,1,0.2740669270498337,2014,6,14,5,13,1.7484921801084259
78,1,0.3735541937393683,2014,6,14,5,13,1.7484921801084259
79,1,0.5782683279098955,2014,6,14,5,13,1.8374923532139997
80,1,0.7434259586077152,2014,6,14,5,13,1.987387000262825
81,1,0.7309484446129683,2014,6,14,5,13,1.981597430204942
82,1,0.9275962278952549,2014,6,14,5,13,2.171403633762168
83,1,1.2441616794275816,2014,6,14,5,13,2.4008625234354
84,1,1.9465007707633164,2014,6,14,5,13,2.9566665238625873
85,1,0.8167821418960147,2014,6,14,5,13,2.026489461112812
86,1,0.37744621675591666,2014,6,14,5,13,1.7484921801084259
87,1,0.8754802168596109,2014,6,14,5,13,2.117732880492217
88,1,1.816338352423936,2014,6,14,5,13,2.910332097240561
89,1,1.2618841242512762,2014,6,14,5,13,2.4008625234354
90,1,1.293883193746925,2014,6,14,5,13,2.4792013471548886
91,1,1.1013919085909791,2014,6,14,5,13,2.3247066993173373
92,1,0.8023322944859361,2014,6,14,5,13,2.015174841098895
93,1,0.7933098167351913,2014,6,14,5,13,2.013949834723746
94,1,1.6422889366321136,2014,6,14,5,13,2.741278596634134
95,1,1.6712378613170307,2014,6,14,5,13,2.7516349125384267
96,1,1.3807952935036776,2014,6,14,5,13,2.5251966302348405
97,1,1.5962574111074135,2014,6,14,5,13,2.712959622695169
98,1,0.872777099143637,2014,6,14,5,13,2.117732880492217
